    0.218974044020715464E+00    0.250380103566194038E+03   -0.655815549857231339E+01   -0.426715977477162589E+01   -0.659406923152304358E+01   -0.543104484364472118E+01    0.343663418236617963E+04
    0.218781268160659098E+00    0.276649531661867684E+03   -0.627135044607228664E+01   -0.426249505817688945E+01   -0.612786912443440102E+01   -0.687635165541358440E+01    0.343664126310063102E+04
    0.218421370404604437E+00    0.267036563467268650E+03   -0.690322900960829866E+01   -0.408111403666128325E+01   -0.628466989218330685E+01   -0.500344818995438789E+01    0.343664784794319166E+04
    0.218860561863337411E+00    0.258139913460540299E+03   -0.683858695117417881E+01   -0.388476862493069941E+01   -0.755646342792261549E+01   -0.544516864910836418E+01    0.343665108195248786E+04
    0.218315401621815119E+00    0.294406973589323059E+03   -0.653625160047627851E+01   -0.424648346544076993E+01   -0.605976128644734757E+01   -0.693885851105451312E+01    0.343666348937165776E+04
    0.218220475927563606E+00    0.283429552188923651E+03   -0.686765178841665769E+01   -0.393732108573944828E+01   -0.641982065176622729E+01   -0.554377564446663573E+01    0.343666759680182940E+04
    0.218967692289160742E+00    0.250565360144830095E+03   -0.589367684100659162E+01   -0.390350669642279069E+01   -0.616587190022870146E+01   -0.580572036615114673E+01    0.343667086056972039E+04
    0.218500911814645482E+00    0.278023142620166027E+03   -0.617009457871644074E+01   -0.421827740461050382E+01   -0.700757080849027680E+01   -0.567862592802249644E+01    0.343668170923409980E+04
    0.218476962281474840E+00    0.251795088287593529E+03   -0.642633770136158056E+01   -0.364173771461873841E+01   -0.672853049538681081E+01   -0.502803286560243556E+01    0.343677232848547783E+04
    0.218985916409107667E+00    0.267816419968492482E+03   -0.671920713077340537E+01   -0.407998767184760780E+01   -0.638929338571819549E+01   -0.676805625525502741E+01    0.343677848823329214E+04
    0.218704090606386403E+00    0.271343887934603572E+03   -0.648165891206259914E+01   -0.409468966058530004E+01   -0.768156147902323383E+01   -0.578821640227308798E+01    0.343678310968800179E+04
    0.219183639047069612E+00    0.258032729615584003E+03   -0.682412352435947600E+01   -0.433890237736443485E+01   -0.790295756808516536E+01   -0.567310970282490068E+01    0.343679461416399909E+04
    0.218431120941302348E+00    0.273382996284079468E+03   -0.629109621586532075E+01   -0.414835673800599736E+01   -0.625322558020830144E+01   -0.505797557329034664E+01    0.343681588137004928E+04
