    0.241142803629625091E+00    0.367635238170623779E+03   -0.268576037883758545E+01   -0.211782723665237427E+01   -0.406154793500900269E+01   -0.376203876733779907E+01   -0.373410857064442534E+06   -0.633660743175559649E+01    1
    0.247398344252782343E+00    0.300928473472595215E+03   -0.438654911518096924E+01   -0.593322455883026123E+01   -0.382596737146377563E+01   -0.365503472089767456E+01   -0.371537056188677670E+06   -0.633860743175561048E+01    1
    0.244385512568365465E+00    0.410698771476745605E+03   -0.491459709405899048E+01   -0.136422938108444214E+01   -0.176002645492553711E+01   -0.604914796352386475E+01   -0.360035252858807333E+06   -0.634060743175563069E+01    1
    0.240076106114015947E+00    0.376300883293151855E+03   -0.226780009269714355E+01   -0.261090385913848877E+01   -0.968238246440887451E+01   -0.333049041032791138E+01   -0.359458826806418248E+06   -0.634260743175563579E+01    1
    0.246804086051188365E+00    0.350292253494262695E+03   -0.514980596303939819E+01   -0.660344433784484863E+01   -0.504258358478546143E+01   -0.435490918159484863E+01   -0.359186323023807665E+06   -0.634460743175560893E+01    1
    0.237644945975046318E+00    0.447808861732482910E+03   -0.252310347557067871E+01   -0.668554234504699707E+01   -0.631590652465820312E+01   -0.623399806022644043E+01   -0.353299145928044338E+06   -0.634660743175560604E+01    1
    0.245905718376174476E+00    0.346666109561920166E+03   -0.593629133701324463E+01   -0.480289703607559204E+01   -0.489436632394790649E+01   -0.366328400373458862E+01   -0.352069038230168982E+06   -0.634860743175562181E+01    1
    0.243878512950526261E+00    0.398322975635528564E+03   -0.470270317792892456E+01   -0.661797487735748291E+01   -0.545176100730895996E+01   -0.346723926067352295E+01   -0.351300325089913676E+06   -0.635060743175562870E+01    1
    0.241441895714849197E+00    0.373413705825805664E+03   -0.288395893573760986E+01   -0.549163901805877686E+01   -0.819007915258407593E+01   -0.463779103755950928E+01   -0.346037772994226601E+06   -0.635260743175563292E+01    1
    0.250523376201085113E+00    0.339962136745452881E+03   -0.629803192615509033E+01   -0.336393010616302490E+01   -0.111984324455261230E+01   -0.289999079704284668E+01   -0.345854682921075495E+06   -0.635460743175561582E+01    1
    0.238270639409256357E+00    0.446501159667968750E+03   -0.293195587396621704E+01   -0.780103600025177002E+01   -0.415523856878280640E+01   -0.209391456842422485E+01   -0.345697806210710958E+06   -0.635660743175559517E+01    1
    0.242703258470127969E+00    0.435584139823913574E+03   -0.635450464487075806E+01   -0.678470182418823242E+01   -0.746085840463638306E+01   -0.252525103092193604E+01   -0.344787883518339717E+06   -0.635860743175559318E+01    1
    0.243583523502754862E+00    0.315106213092803955E+03   -0.333488237857818604E+01   -0.329762393236160278E+01   -0.592315334081649780E+01   -0.200405997037887573E+01   -0.341283748872482684E+06   -0.636060743175560539E+01    1
    0.240724978468341566E+00    0.398063194751739502E+03   -0.256030482053756714E+01   -0.657392555475234985E+01   -0.222192806005477905E+01   -0.339657139778137207E+01   -0.340800178053615557E+06   -0.636260743175563359E+01    1
