lambda,sigma_inst,sigma_ale_med,sigma_epi_med,sigma_total_med,ratio_ale_inst,ratio_total_inst
21,0.00011607168928565501,5.8035846e-05,7.895471e-06,5.8570455e-05,0.5000000155726051,0.5046058610199308
22,0.00011332457195585353,5.6662288e-05,8.094759e-06,5.7237572e-05,0.5000000137309581,0.5050764459007258
23,0.00011189948741310614,5.5949742e-05,7.5717917e-06,5.6459772e-05,0.49999998556146424,0.5045579159741043
24,0.00011158784120312121,5.579392e-05,8.7770195e-06,5.6480065e-05,0.4999999962456695,0.5061489155498916
25,0.00011165095003851567,5.5825476e-05,7.954091e-06,5.6389283e-05,0.5000000088806933,0.505049734649896
26,0.0001120615540608764,5.6030778e-05,7.1873965e-06,5.648988e-05,0.5000000092661404,0.5040968827689757
27,0.00011252140381510417,5.6260702e-05,7.537538e-06,5.6763376e-05,0.5000000005319095,0.5044673646657333
28,0.00011168183879234379,5.584092e-05,9.892342e-06,5.6710374e-05,0.49999999851954346,0.5077851058962111
29,0.00011001152869652379,5.5005763e-05,8.575411e-06,5.5670207e-05,0.4999999876353057,0.5060397554230888
30,0.000108967646307317,5.4483822e-05,6.4406468e-06,5.4863183e-05,0.49999999095961956,0.5034814018820507
31,0.0001080840747396696,5.4042037e-05,8.168374e-06,5.465587e-05,0.4999999959875488,0.5056792093926712
32,0.00010704894245806367,5.3524473e-05,6.456319e-06,5.391246e-05,0.5000000128555439,0.5036243999152247
33,0.00010634949540787355,5.3174746e-05,7.1134573e-06,5.364844e-05,0.49999998798851,0.5044541129723388
34,0.00010640250167180879,5.320125e-05,7.73067e-06,5.3759988e-05,0.49999998370551596,0.5052511663967892
35,0.00010736916052359411,5.368458e-05,9.164385e-06,5.4461183e-05,0.49999999805071826,0.5072330151493107
36,0.0001090024110178602,5.4501204e-05,9.284094e-06,5.5286306e-05,0.49999999011361046,0.5072025949467586
37,0.00010992357948511404,5.496179e-05,7.4460854e-06,5.5463886e-05,0.5000000090572436,0.5045676882341099
38,0.00010936090369229192,5.468045e-05,7.654204e-06,5.5213575e-05,0.4999999948697211,0.504874899413364
39,0.00010739471238657603,5.3697357e-05,7.626979e-06,5.423631e-05,0.5000000041043623,0.5050184263001908
40,0.00010569792894102155,5.2848965e-05,7.145888e-06,5.3329888e-05,0.5000000090241601,0.504549980941508
41,0.00010498708415524452,5.2493542e-05,7.330971e-06,5.3002972e-05,0.5000000008879978,0.5048523102404755
42,0.00010392881411727014,5.1964405e-05,6.7294995e-06,5.2398336e-05,0.49999998432274634,0.5041752540959841
43,0.00010250330670666243,5.1251653e-05,7.2007424e-06,5.1755025e-05,0.4999999928597431,0.5049107863921174
44,0.00010146145543923095,5.0730727e-05,1.0273128e-05,5.1760446e-05,0.49999999091723585,0.5101488595979895
45,0.00010146524510068963,5.0732622e-05,7.944331e-06,5.1350864e-05,0.4999999963995424,0.5060931345557895
46,0.0001026879643867709,5.134398e-05,6.623037e-06,5.1769384e-05,0.4999999872642427,0.5041426676296475
47,0.00010361744253991553,5.180872e-05,7.2695557e-06,5.231625e-05,0.5000000047703188,0.5048980907969475
48,0.00010295793010460215,5.1478964e-05,6.748961e-06,5.1919476e-05,0.49999999416202046,0.5042785566716471
49,0.00010236601102893107,5.1183004e-05,7.1608974e-06,5.1681505e-05,0.49999998482773667,0.5048697781994689
50,0.00010315364559468784,5.1576822e-05,7.4088384e-06,5.2106232e-05,0.49999999656650845,0.5051322397062669
51,0.00010433796615332581,5.2168984e-05,7.912195e-06,5.2765572e-05,0.500000004340623,0.5057178511474073
52,0.0001043404433339185,5.217022e-05,7.180636e-06,5.266207e-05,0.4999999882633222,0.5047138947891545
53,0.00010275649227358727,5.1378247e-05,7.378537e-06,5.1905365e-05,0.5000000084779735,0.5051297832652687
54,0.00010088450145382656,5.044225e-05,8.225134e-06,5.1108447e-05,0.49999998913276666,0.5066035564150609
55,9.940137208006829e-05,4.9700688e-05,7.550655e-06,5.0270974e-05,0.5000000163829222,0.505737220084311
56,9.88047139462152e-05,4.9402355e-05,7.73669e-06,5.000449e-05,0.4999999822208476,0.5060941896754105
57,9.92841030233438e-05,4.964205e-05,7.3506167e-06,5.0183313e-05,0.499999992087701,0.505451641530217
58,9.926497114849664e-05,4.9632486e-05,9.443622e-06,5.052292e-05,0.5000000091227974,0.5089702966320793
59,9.800072630553717e-05,4.9000362e-05,7.507856e-06,4.9572205e-05,0.49999999023956343,0.5058350793894896
60,9.685840131794787e-05,4.84292e-05,7.925952e-06,4.9073496e-05,0.49999998827723147,0.5066519353660275
61,9.702897527628385e-05,4.851449e-05,8.322737e-06,4.92232e-05,0.5000000068076247,0.5073041240716968
62,9.80821569854356e-05,4.904108e-05,1.10414e-05,5.0268674e-05,0.49999999961593306,0.5125159960868152
63,9.826078545565303e-05,4.9130394e-05,7.5566595e-06,4.9708135e-05,0.5000000177579903,0.505879679066594
64,9.677505052066566e-05,4.8387526e-05,7.636618e-06,4.8986432e-05,0.5000000125647803,0.5061886520526861
65,9.513543957855889e-05,4.756772e-05,8.008008e-06,4.823708e-05,0.49999999029561365,0.5070358818373824
66,9.484981815372196e-05,4.742491e-05,1.0320302e-05,4.853484e-05,0.5000000098167295,0.5117019736765949
67,9.574064137827836e-05,4.7870322e-05,8.968782e-06,4.8703252e-05,0.5000000168800236,0.5086998729474997
68,9.655907290627281e-05,4.8279537e-05,7.3816063e-06,4.8840575e-05,0.5000000026951787,0.505810313014105
69,9.637146175738327e-05,4.818573e-05,7.4185677e-06,4.875346e-05,0.5000000057189946,0.5058910486726521
70,9.55039151348074e-05,4.7751957e-05,8.804377e-06,4.8556838e-05,0.4999999943392083,0.508427721957077
71,9.47406715357227e-05,4.7370337e-05,8.012961e-06,4.8043275e-05,0.5000000097110295,0.5071029651462448
72,9.443496202983733e-05,4.721748e-05,9.147456e-06,4.809539e-05,0.4999999864185319,0.5092964350102344
73,9.37958058959247e-05,4.68979e-05,8.141709e-06,4.7599377e-05,0.49999998439249954,0.5074787310899987
74,9.316900701851187e-05,4.6584504e-05,9.156309e-06,4.7475827e-05,0.5000000070031079,0.509566739827194
75,9.299944325586559e-05,4.649972e-05,7.957849e-06,4.717575e-05,0.4999999939536894,0.5072691494255979
