wl_um,half_bin_um,clean_binned,model_binned,err_obs,residual,chi2_contrib
0.9959982,0.007126599,0.0024602416412530716,0.0024572667610545003,2.4309e-05,-2.974880198571353e-06,0.014976308397226041
1.010422,0.007297248,0.0024629942927367828,0.0024547077071983524,2.366558e-05,-8.286585538430386e-06,0.12260746977155247
1.025187,0.007466014,0.0024587302428373354,0.0024402960912896393,2.299122e-05,-1.8434151547696166e-05,0.6428686872043451
1.040286,0.007633161,0.0024379747112092866,0.0024174597655778063,2.233717e-05,-2.051494563148036e-05,0.8434987468833346
1.05572,0.007800891,0.0024172684434468927,0.002399378936212123,2.175443e-05,-1.7889507234769477e-05,0.6762407522421489
1.07149,0.007966972,0.0024113242292723137,0.0023927694305868647,2.125743e-05,-1.8554798685448994e-05,0.7618877278346783
1.087588,0.008129174,0.0024159607463924045,0.0024033404404863196,2.071469e-05,-1.262030590608483e-05,0.37117856398452465
1.104007,0.008287952,0.002435569089359418,0.002429006849499557,2.018591e-05,-6.562239859861027e-06,0.10568358469317717
1.12074,0.008442904,0.0024647843217456868,0.0024579803998237837,1.980078e-05,-6.803921921903072e-06,0.11807393730165708
1.137778,0.008594074,0.0024731270772103023,0.002477355539174317,1.947164e-05,4.228461964014569e-06,0.04715847946527583
1.155116,0.008740543,0.0024844819557446212,0.002484833454594836,1.905689e-05,3.5149885021460575e-07,0.00034020740569703356
1.17274,0.00888056,0.002489302093036394,0.0024831455863366515,1.87116e-05,-6.156506699742277e-06,0.10825472546289819
1.190638,0.009013873,0.002477663779142465,0.0024717667122330553,1.849138e-05,-5.897066909409804e-06,0.1017029297574807
1.208796,0.009141442,0.0024524727122141525,0.0024509878231713496,1.824969e-05,-1.484889042802865e-06,0.006620290117868216
1.227204,0.009262523,0.0024327436365643228,0.002426013896018567,1.803683e-05,-6.729740545755817e-06,0.1392118542165268
1.245846,0.009375197,0.002417554859066127,0.002400550570048253,1.789645e-05,-1.700428901787402e-05,0.9027825856399067
1.264705,0.009481103,0.002404657888561815,0.002382992612745548,1.783793e-05,-2.16652758162671e-05,1.4751613801590884
1.28377,0.009578937,0.0024121740084393902,0.0023881753665944043,1.783195e-05,-2.3998641844985916e-05,1.8112385511117988
1.30302,0.009668802,0.0024325835895246143,0.0024165498758522952,1.786437e-05,-1.603371367231909e-05,0.8055506220155714
1.322446,0.00975084,0.0024555720734147687,0.0024489496650843723,1.795546e-05,-6.62240833039637e-06,0.1360312970896405
1.342024,0.009824426,0.002473601333178173,0.0024704909099030233,1.806168e-05,-3.1104232751499178e-06,0.029656691462206893
1.361743,0.009890437,0.0024867009995824495,0.0024809070430191677,1.813898e-05,-5.79395656328174e-06,0.10202926219174058
1.381585,0.009948051,0.002496737251787748,0.0024849471360558666,1.824069e-05,-1.1790115731881348e-05,0.4177857387725684
1.401535,0.009998392,0.0024984876721914242,0.0024831987221021388,1.840997e-05,-1.5288950089285477e-05,0.6896824331038274
1.421579,0.01004111,0.002486613291753214,0.002476472248525618,1.853041e-05,-1.0141043227595951e-05,0.2994988856560429
1.4417,0.01007627,0.002474527401391692,0.00246412952108772,1.856376e-05,-1.0397880303971742e-05,0.31373121927940106
1.461884,0.01010465,0.002460153140469311,0.0024505476629796573,1.859647e-05,-9.605477489653923e-06,0.26679451054369024
1.482118,0.01012621,0.002446588999564957,0.0024366640160703203,1.871458e-05,-9.924983494636556e-06,0.28125445901878915
1.502389,0.01014123,0.002434732703356084,0.0024204010178492394,1.884525e-05,-1.433168550684467e-05,0.5783499903400434
1.522683,0.01015027,0.0024251372047197415,0.0024038108684869635,1.889748e-05,-2.1326336232778062e-05,1.2735755570646177
1.54299,0.01015353,0.0024200709974765695,0.002389479144186158,1.890675e-05,-3.059185329041137e-05,2.618049251674419
1.563298,0.01015145,0.00242194803488415,0.0023833990078374685,1.887633e-05,-3.8549027046681436e-05,4.170534518329378
1.583596,0.01014432,0.002415831340932997,0.0023917268217444987,1.883887e-05,-2.4104519188498236e-05,1.6371453829803306
1.603875,0.01013244,0.0024315746418100736,0.0024166663199175595,1.889735e-05,-1.4908321892514054e-05,0.6223801156079894
1.624126,0.01011633,0.0024603216340423786,0.0024460698859549647,1.899358e-05,-1.4251748087413911e-05,0.5630184330150457
1.64434,0.01009602,0.002473443413788243,0.0024641760477338514,1.900971e-05,-9.267366054391529e-06,0.23766304229611068
1.66451,0.01007198,0.002480945014506274,0.002470188103502938,1.911331e-05,-1.0756911003335923e-05,0.3167403145259516
1.684628,0.01004484,0.0024845456063331745,0.002476423294161169,1.936992e-05,-8.122312172005423e-06,0.17583434181938676
1.704689,0.01001435,0.002496567164170539,0.002479952548381581,1.972908e-05,-1.6614615788957884e-05,0.7091970782908259
1.724685,0.009981031,0.0024939103640639433,0.002481167587256214,2.006721e-05,-1.2742776807729301e-05,0.403231231150184
1.744613,0.009945423,0.0024893961504120093,0.0024792776924692384,2.035154e-05,-1.0118457942770876e-05,0.24719182624488537
1.764467,0.009907178,0.0024891086625054293,0.0024760855160888473,2.065347e-05,-1.3023146416582011e-05,0.3975994639670677
